"Praktijk";"Gebounced adres";"Pagina op dierenkliniek.nl";"Eigen website";"Oorzaak";"Opmerking"
"DGC de Nieuwe HANZE (Kampen)";"info@dgcdenieuwehanze.nl";"https://dierenkliniek.nl/dgc-de-nieuwe-hanze-dierenarts-in-kampen";"http://www.dgcdenieuwehanze.nl/";"adres of domein bestaat niet";""
"Dierenarts Dorpsstraat (Nootdorp)";"dapypenburg@planet.nl";"https://dierenkliniek.nl/dierenarts-dorpsstraat-dierenarts-in-nootdorp";"http://www.dierenartsypenburgnootdorp.nl/";"adres of domein bestaat niet";""
"Dierenarts Peter Wiersma (Utrecht)";"dajordan@xs4all.nl";"https://dierenkliniek.nl/dierenarts-peter-wiersma-dierenarts-in-utrecht";"https://www.peterwiersma-dierenarts.nl/";"adres of domein bestaat niet";""
"Dierenartsen Lelystad (Lelystad)";"rianne.vanderwal@dierenartsenlelystad.nl";"https://dierenkliniek.nl/dierenartsen-lelystad-dierenarts-in-lelystad";"http://www.dierenartsenlelystad.nl/";"adres of domein bestaat niet";""
"Dierenartsenpraktijk De Lekstreek (Giessenburg)";"dapdelekstreek@planet.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-de-lekstreek-dierenarts-in-giessenburg";"http://www.dierenartsenpraktijkdelekstreek.nl/";"adres of domein bestaat niet";""
"Dierenartsenpraktijk Mosselman ('s-Gravenpolder)";"info@mosselmanverboom.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-mosselman-dierenarts-in-s-gravenpolder";"http://www.dierenartsgoes.nl/";"adres of domein bestaat niet";""
"Dierenartsenpraktijk Mosselman (Goes)";"goes@mosselmanverboom.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-mosselman-dierenarts-in-goes";"http://www.dierenartsgoes.nl/";"adres of domein bestaat niet";""
"Dierenartsenpraktijk Mosselman (Kruiningen)";"kruiningen@mosselmanverboom.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-mosselman-dierenarts-in-kruiningen";"http://www.dierenartsgoes.nl/";"adres of domein bestaat niet";""
"DierenartsenPraktijk Obdam (Obdam)";"dierenarts@dapspierdijkobdam.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-obdam-dierenarts-in-obdam";"http://www.abcdierenarts.nl/";"mailserver ontvanger defect of vol";""
"Dierenartsenpraktijk Roden (Roden)";"info@dap-roden.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-roden-dierenarts-in-roden";"http://www.dap-roden.nl/";"adres of domein bestaat niet";""
"Dierenartsenpraktijk Ypenburg (Den Haag)";"dapypenburg@planet.nl";"https://dierenkliniek.nl/dierenartsenpraktijk-ypenburg-dierenarts-in-den-haag";"http://www.dierenartsypenburgnootdorp.nl/";"adres of domein bestaat niet";""
"Dierenartspraktijk Mosselman en Verboom, Kapelle (Kapelle)";"kapelle@mosselmanverboom.nl";"https://dierenkliniek.nl/dierenartspraktijk-mosselman-en-verboom-kapelle-dierenarts-in-kapelle";"http://www.dierenartskapelle.nl/";"adres of domein bestaat niet";""
"DierenDokters Achtse Barrier (Eindhoven)";"achtsebarrier@dierendokters.com";"https://dierenkliniek.nl/dierendokters-achtse-barrier-dierenarts-in-eindhoven";"http://www.dierendokters.com/";"adres of domein bestaat niet";""
"DierenDokters Zeist (Zeist)";"aboer@dierendokters.com";"https://dierenkliniek.nl/dierendokters-zeist-dierenarts-in-zeist";"https://www.dierendokters.com/dierenarts-dierenkliniek/zeist";"adres of domein bestaat niet";""
"Dierenkliniek Achterstraat (Putten)";"sbeunis@dierenkliniekachterstraat.nl";"https://dierenkliniek.nl/dierenkliniek-achterstraat-dierenarts-in-putten";"https://www.dierenkliniekachterstraat.nl/";"mailserver ontvanger defect of vol";""
"Dierenkliniek Blommaart (Almere)";"info@dapblommaart.nl";"https://dierenkliniek.nl/dierenkliniek-blommaart-dierenarts-in-almere";"http://www.dapblommaart.nl/";"geblokkeerd door ontvanger (550 5.7.1)";""
"Dierenkliniek De Baronie (Prinsenbeek)";"jboere@vetsenpets.nl";"https://dierenkliniek.nl/dierenkliniek-de-baronie-dierenarts-in-prinsenbeek";"";"geblokkeerd door ontvanger (550 5.7.1)";""
"Dierenkliniek De Beemd (Oosterhout)";"jboere@vetsenpets.nl";"https://dierenkliniek.nl/dierenkliniek-de-beemd-dierenarts-in-oosterhout";"";"geblokkeerd door ontvanger (550 5.7.1)";""
"Dierenkliniek De Beer (Zwolle)";"vragen@dierenkliniekdebeer.nl";"https://dierenkliniek.nl/dierenkliniek-de-beer-dierenarts-in-zwolle";"http://dierenkliniekdebeer.nl/";"adres of domein bestaat niet";""
"Dierenkliniek De Langstraat (Waalwijk)";"jboere@vetsenpets.nl";"https://dierenkliniek.nl/dierenkliniek-de-langstraat-dierenarts-in-waalwijk";"";"geblokkeerd door ontvanger (550 5.7.1)";""
"Dierenkliniek Midden Nederland (Maartensdijk)";"info@dkmidden.nl";"";"https://www.dierenkliniekmiddennederland.nl/";"adres bestaat niet (postmaster evidensia.nl)";"vermelding inmiddels verwijderd"
"Dierenkliniek Oudorp (Alkmaar)";"jessica@dierenkliniekoudorp.nl";"https://dierenkliniek.nl/dierenkliniek-oudorp-dierenarts-in-alkmaar";"http://www.dierenkliniekoudorp.nl/";"adres of domein bestaat niet";""
"Dierenkliniek Tussen Mark en Amer (Zevenbergen)";"jboere@vetsenpets.nl";"https://dierenkliniek.nl/dierenkliniek-tussen-mark-en-amer-dierenarts-in-zevenbergen";"";"geblokkeerd door ontvanger (550 5.7.1)";""
"Dierenkliniek Wassenaar (Wassenaar)";"dierenkliniekwassenaar@casema.nl";"https://dierenkliniek.nl/dierenkliniek-wassenaar-dierenarts-in-wassenaar";"http://www.dierenkliniekwassenaar.nl/";"adres of domein bestaat niet";""
"Diergeneeskundig Centrum Bekenland (Goor)";"goor@bekenland.nl";"https://dierenkliniek.nl/diergeneeskundig-centrum-bekenland-dierenarts-in-goor";"http://www.bekenland.nl/";"geblokkeerd door ontvanger (550 5.7.1)";""
"Diernkliniek Bladel (Bladel)";"info@dierenkliniekbladel.nl";"https://dierenkliniek.nl/diernkliniek-bladel-dierenarts-in-bladel";"http://www.dierenkliniekbladel.nl/";"mailserver ontvanger defect of vol";""
"Dokter Annemarie (Nederhorst den Berg)";"abcoude@dokterannemarie.nl";"https://dierenkliniek.nl/dokter-annemarie-dierenarts-in-nederhorst-den-berg";"http://www.dokterannemarie.nl/";"adres of domein bestaat niet";""
"Gezelschapsdierenartsen De Peel (Ysselsteyn)";"info@gddepeel.nl";"https://dierenkliniek.nl/gezelschapsdierenartsen-de-peel-dierenarts-in-ysselsteyn";"http://www.gddepeel.nl/";"mailserver ontvanger defect of vol";""
"Gezelschapsdierenpraktijk Aalderinkshoek (Almelo)";"info@dierenartsaalderinkshoek.nl";"https://dierenkliniek.nl/gezelschapsdierenpraktijk-aalderinkshoek-dierenarts-in-almelo";"http://www.aalderinkshoek.bestedierenartsen.nl/";"adres of domein bestaat niet";""
"Lintjeshof (Nederweert)";"infogezelschapsdieren@lintjeshof.com";"https://dierenkliniek.nl/lintjeshof-dierenarts-in-nederweert";"http://www.lintjeshof.com/gezelschapsdieren";"geblokkeerd door ontvanger (550 5.7.1)";""
"PlusDierenklinieken De Saen (Zaandam)";"annelies@plusdierenklinieken.nl";"https://dierenkliniek.nl/plusdierenklinieken-de-saen-dierenarts-in-zaandam";"http://www.plusdierenklinieken.nl/";"geblokkeerd door ontvanger (550 5.7.1)";""
"PlusDierenklinieken Westerwatering (Zaandam)";"annelies@plusdierenklinieken.nl";"https://dierenkliniek.nl/plusdierenklinieken-westerwatering-dierenarts-in-zaandam";"http://www.plusdierenklinieken.nl/";"geblokkeerd door ontvanger (550 5.7.1)";""
"PlusDiernklinieken Saendelft (Assendelft)";"annelies@plusdierenklinieken.nl";"https://dierenkliniek.nl/plusdiernklinieken-saendelft-dierenarts-in-assendelft";"http://www.plusdierenklinieken.nl/";"geblokkeerd door ontvanger (550 5.7.1)";""
"Vets (Hooge Zwaluwe)";"jboere@vetsenpets.nl";"https://dierenkliniek.nl/vets-dierenarts-in-hooge-zwaluwe";"http://www.vetsenpets.nl/";"geblokkeerd door ontvanger (550 5.7.1)";""
"Vets Place Doetinchem (Doetinchem)";"doetinchem@vetsplace.nl";"https://dierenkliniek.nl/vets-place-doetinchem-dierenarts-in-doetinchem";"http://vetsplace.nl/";"adres of domein bestaat niet";""
"Vets Place Druten (Druten)";"druten@vetsplace.nl";"https://dierenkliniek.nl/vets-place-druten-dierenarts-in-druten";"http://www.vetsplace.nl/";"adres of domein bestaat niet";""
